variable_id,variable_code,item_id,generation,extract_source_id,survey_source,survey_year,loop_index,translate,notes
1,R0000100,1,1,1,1,1979,0,0,Is read directly in Subject.cs
2,C0000100,1,2,1,2,2008,0,0,Is read directly in Subject.cs
3,R0000149,2,1,1,1,1979,0,0,Is read directly in Subject.cs
4,R0214800,3,1,1,1,1979,0,0,Is read directly in Subject.cs
5,C0005400,3,2,1,2,0,0,0,Is read directly in Subject.cs
6,R0000300,6,1,1,1,1979,0,1,NA
7,R0000500,7,1,1,1,1979,0,1,NA
8,C0005500,6,2,1,2,2008,0,1,NA
9,C0005700,8,2,1,2,2008,0,1,NA
10,R0216500,9,1,1,1,1979,0,1,NA
11,R0406510,9,1,1,1,1980,0,1,NA
12,R0619010,9,1,1,1,1981,0,1,NA
13,R0898310,9,1,1,1,1982,0,1,NA
14,R1145110,9,1,1,1,1983,0,1,NA
15,R1520310,9,1,1,1,1984,0,1,NA
16,R1891010,9,1,1,1,1985,0,1,NA
17,R2258110,9,1,1,1,1986,0,1,NA
18,R2445510,9,1,1,1,1987,0,1,NA
19,R2871300,9,1,1,1,1988,0,1,NA
20,R3075000,9,1,1,1,1989,0,1,NA
21,R3401700,9,1,1,1,1990,0,1,NA
22,R3657100,9,1,1,1,1991,0,1,NA
23,R4007600,9,1,1,1,1992,0,1,NA
24,R4418700,9,1,1,1,1993,0,1,NA
25,R5081700,9,1,1,1,1994,0,1,NA
26,R5167000,9,1,1,1,1996,0,1,NA
27,R6479800,9,1,1,1,1998,0,1,NA
28,R7007500,9,1,1,1,2000,0,1,NA
29,R7704800,9,1,1,1,2002,0,1,NA
30,R8497200,9,1,1,1,2004,0,1,NA
31,T0989000,9,1,1,1,2006,0,1,NA
32,T2210800,9,1,1,1,2008,0,1,NA
33,T3108700,9,1,1,1,2010,0,1,NA
34,Y0677600,9,2,1,3,1996,0,0,NA
35,Y0974800,9,2,1,3,1998,1,0,NA
36,Y1192400,9,2,1,3,2000,2,0,NA
37,Y1434300,9,2,1,3,2002,3,0,NA
38,Y1672700,9,2,1,3,2004,4,0,NA
39,Y1948500,9,2,1,3,2006,5,0,NA
40,Y2267100,9,2,1,3,2008,6,0,NA
41,Y2616000,9,2,1,3,2010,7,0,NA
42,C0006500,10,2,1,2,1986,0,1,NA
43,C0006800,10,2,1,2,1988,0,1,NA
44,C0007010,10,2,1,2,1990,0,1,NA
45,C0007030,10,2,1,2,1992,0,1,NA
46,C0007041,10,2,1,2,1994,0,1,NA
47,C0007043,10,2,1,2,1996,0,1,NA
48,C0007045,10,2,1,2,1998,0,1,NA
49,C0007047,10,2,1,2,2000,0,1,NA
50,C0007049,10,2,1,2,2002,0,1,NA
51,C0007052,10,2,1,2,2004,0,1,NA
52,C0007055,10,2,1,2,2006,0,1,NA
53,C3601100,10,2,1,2,2008,0,1,NA
54,C3981100,10,2,1,2,2010,0,1,NA
